x y z
-4.98112858 1.069756983 -0.183252891
-4.609794235 1.032454605 0.003215524
-4.548486696 1.06277926 0.003179448
-4.457284883 1.070353956 0.00312023
-5.03520332 1.230511439 -0.376005242
-3.957731937 1.050877875 0.302073971
-4.407449072 1.173501234 0.003104574
-3.948710859 1.061461699 0.30163254
-4.653457863 1.074089522 -0.042844884
-5.008962023 1.368878837 -0.186775615
-5.189479796 1.036648478 -0.290958876
-5.051236224 1.025158286 -0.283382947
-5.047089702 1.04044886 -0.283328052
-4.169903646 1.206720414 0.002954825
-4.035040568 1.208049393 0.002867017
-4.416221044 1.163100916 -0.040969972
-3.519582647 1.074682236 0.27146931
-5.146083245 1.374723198 -0.241224688
-3.839376951 1.188081818 0.002735646
-3.781998662 1.181530909 0.147297811
-5.127436208 1.420428102 -0.240953249
-3.970813874 1.10806184 0.264568354
-4.415156461 1.062744035 0.082042942
-5.08842607 1.426444731 -0.239324581
-3.969316744 1.12078134 0.264696445
-4.415760734 1.077232353 0.082115197
-3.564637415 1.160587875 0.276545541
-4.343828672 1.243391161 0.124628634
-4.536227538 1.123225172 -0.085324479
-3.102812649 1.021844672 0.121441749
-4.128947974 1.196537811 -0.038565777
-4.229633161 1.238832326 0.121568069
-4.411010855 1.471536239 -0.167256912
-3.555695309 1.193981761 0.276692703
-4.420608142 1.136067821 0.082458394
-4.41783946 1.488892066 -0.167688256
-3.043125351 1.033329579 0.119472828
-4.011439864 1.202614494 -0.037570011
-4.418849583 1.506927204 -0.338672409
-3.053006891 1.048393119 0.00219723
-5.142209317 1.359812562 -0.292441095
-3.526649123 1.220460063 0.275294886
-4.047803415 1.239708348 0.116770417
-4.427850176 1.183299614 -0.083681514
-4.492000856 1.040023103 0.039996633
-4.471792265 1.387833193 -0.212044295
-2.96425947 1.047292838 0.116872359
-3.894275824 1.21976931 -0.03661013
-4.417884026 1.567375981 -0.34004707
-3.951149677 1.247721631 0.265913302
-4.395093349 1.216177728 0.082386145
-4.191137964 1.498947979 -0.160103654
-2.967179444 1.068848166 0.117243853
-3.826717326 1.224442509 -0.036044963
-2.805804716 1.018069425 0.33015729
-4.424504448 1.081769089 0.039510878
-4.566569201 1.478923383 -0.217382725
-3.056248936 1.122166574 0.121033099
-3.58150565 1.170255452 -0.033802245
-2.769673524 1.024234489 0.326639126
-3.025421105 1.122653966 0.002196549
-2.611012201 0.974677311 0.308278721
-4.399823613 1.118749052 0.039380765
-4.457377613 1.674383281 -0.345400999
-3.143212604 1.059159279 -0.029756382
-4.5035125 1.707498039 -0.349380264
-2.551821931 0.971737578 0.201431692
-4.427709706 1.154809803 0.039693037
-5.08467373 1.331274774 -0.339249519
-4.464395618 1.181935907 -0.128836763
-3.257886665 0.996375933 0.310886518
-4.192559777 1.28575333 0.079225087
-3.26718308 1.010190551 0.312067912
-4.443920044 1.202827632 0.039935915
-4.435587838 1.557776384 -0.212903869
-2.568460029 1.014335044 0.20371233
-3.31517662 1.173251443 0.097000786
-4.195520782 1.316648814 -0.080286061
-5.05255855 1.389337958 -0.338218954
-2.598761805 0.926747969 0.277677035
-4.053688684 1.282232244 0.232493772
-4.410438918 1.222858716 0.03970171
-4.40642727 1.580316544 -0.384456656
-3.651988831 1.022168273 0.310121322
-2.538312932 1.02140376 0.10171536
-3.058608697 1.104339443 -0.029173275
-4.449230987 1.428542726 -0.25692218
-2.619956715 1.061318095 0.312676411
-2.589388894 0.941763244 0.176827217
-3.106902854 1.005201713 0.058994332
-4.441578261 1.623749837 -0.388385526
-3.601574605 1.031929259 0.306372159
-2.753016033 1.127475494 0.110594091
-3.013299408 1.108926435 -0.02880547
-4.463153108 1.463281414 -0.258239711
-2.637287009 1.08722338 0.31553493
-3.165258336 1.044109337 0.182260273
-4.133910177 1.201007064 0.037342334
-3.035006298 1.25664049 -0.11815462
-4.438069243 1.653407926 -0.388958506
-2.816350506 1.172605698 0.225047306
-3.1881819 1.194785931 0.09391264
-4.102297829 1.370836003 -0.078971689
-4.425852462 1.851167258 -0.348005631
-3.437124712 1.019134243 0.293168568
-2.817793496 1.066526126 -0.027029237
-4.410963118 1.860860074 -0.347282121
-3.258792849 1.107053532 0.314067171
-2.801430592 1.070170214 -0.026903646
-4.406151119 1.874774398 -0.347354481
-4.195237055 1.274375527 0.198179861
-2.687861285 1.156622014 0.323670666
-2.746351754 1.068485827 -0.02643716
-2.628098934 0.919864417 0.254089073
-3.7141282 1.15316972 0.175783595
-2.586768073 0.914316104 0.250363157
-3.17204889 0.995544012 0.150271719
-3.844913247 1.6876714 0.002858169
-2.668918276 1.177700071 0.322681199
-2.581528573 1.029621887 0.178364287
-3.210167762 1.148533435 0.061595427
-4.417217342 1.404719571 -0.129310843
-4.239288111 1.884544417 -0.507757795
-3.314776044 1.060811069 0.284610682
-2.735389473 1.219531464 0.111337077
-3.081122533 1.114375919 -0.059822058
-3.137433284 1.407501562 0.507964651
-2.634016072 1.068906996 0.286088443
-2.590394509 0.943530588 0.150755121
-3.821922002 1.719704845 0.002852723
-4.470317911 1.634643505 -0.261698271
-2.662494023 1.20426232 0.323230903
-2.783423921 1.13995006 0.193030502
-3.173189615 1.168357415 0.061089659
-4.211297491 1.382041678 -0.123649833
-2.659691249 1.212837454 0.323340844
-2.803894246 1.158391402 0.194695662
-2.822828408 1.049201175 0.054406283
-4.189010227 1.388977793 -0.123119978
-2.667697744 1.226388721 0.324770104
-2.812107471 1.05504686 0.054261779
-3.075557425 1.28597191 -0.150969025
-4.390081525 1.654155032 -0.429508429
-3.728891122 1.733178299 0.002798949
-2.678688772 1.135196612 0.29279757
-4.209154926 1.438789824 -0.124096019
-4.421617939 1.52822229 -0.301955906
-2.930426961 1.390981379 0.479176085
-2.67806902 1.154368352 0.293498522
-3.141218591 1.095315644 -0.092807089
-2.94275403 1.40810054 0.605454605
-3.237462516 1.406076556 0.486573304
-2.543318776 0.996715724 0.249272632
-2.874635937 1.009951243 0.13771898
-3.664966842 1.758475391 0.002766958
-3.05913235 1.334595003 -0.151149985
-2.880847385 1.389170478 0.472453902
-2.676403004 1.173175625 0.294099336
-2.543861347 1.006969233 0.149608492
